Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
Lead Oxide,1,1,0,0,100.0,,,1,47.0,47.0,47.0,47.0,0,,,,,0,,,,,1,42.0,42.0,42.0,42.0,1,6.0,6.0,6.0,6.0,0,,,,,1,7.3,7.3,7.3,7.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,6.0,6.0,6.0,6.0,47.0,,,,,,42.0,,6.0,,,,7.3,,,,,,,,,,,,,,,,6.0,
Liposome,179,44,38,97,53.7,,50.0,104,0.06,262.0,91.6464423076923,100.65,72,0.1,386.0,145.5215277777778,143.5,74,0.029,2.0,0.4174459459459459,0.185,81,-59.4,42.9,-1.269876543209877,-1.31,1,14.0,14.0,14.0,14.0,0,,,,,37,2.0,8.1,7.094594594594595,7.4,61,-1.0,100.0,42.14613114754098,46.0,30,-1640.0,100.0,-5.283333333333333,50.0,10,6.0,72.0,29.6,31.0,2,-7.0,-7.0,-7.0,-7.0,0,,,,,31,-7.0,3000.0,485.6619354838709,50.0,26,3.8,5000.0,201.8,9.9,149,1.0,72.0,30.04026845637584,24.0,99.08677419354841,43.18181818181818,153.1736842105263,232.42,0.31544,0.1685714285714286,-5.80625,-2.358750000000001,14.0,,,,7.539999999999999,7.411764705882354,18.28721052631579,81.56521739130434,-134.25,36.0,43.33333333333334,9.0,-7.0,,,,547.7933333333333,567.3333333333334,10.8,,31.47727272727273,16.92105263157895
MXene,1,0,0,1,0.0,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,1.6,1.6,1.6,1.6,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium Oxide,33,12,11,10,52.2,30.0,357.745,31,3.0,100.0,41.10645161290323,33.0,10,89.0,2349.0,649.9,221.45,5,0.444,1.132,0.6564,0.598,12,-25.5,39.2,-1.583333333333333,-1.3,2,10.46,123.0,66.73,66.73,0,,,,,15,5.6,9.6,7.2,7.4,21,-174.0,100.0,53.02285714285714,60.0,4,2.0,87.9,34.40000000000001,23.85,5,0.32,55.0,35.064,40.0,5,12.5,50.0,42.5,50.0,4,14.0,33.0,26.75,30.0,12,13.5,1513.0,413.9800000000001,357.745,1,2000.0,2000.0,2000.0,2000.0,30,5.0,48.0,25.96666666666667,24.0,54.11666666666667,36.33,397.6333333333334,1467.333333333333,0.631,,-6.933333333333334,18.66,10.46,123.0,,,7.300000000000001,8.0,25.566,77.98363636363636,,45.20000000000001,43.75,0.32,42.5,,20.5,33.0,229.1844444444445,968.3666666666667,,,25.0,27.18181818181818
Manganese Oxide,61,26,20,15,56.5,0.12,0.5,59,0.5,200.0,68.41406779661017,40.6,21,50.0,1372.0,372.0666666666667,299.6,6,0.183,0.539,0.327,0.31,23,-37.3,30.0,-1.47695652173913,-1.27,16,2.0,164.0,36.778125,13.5,1,3.99,3.99,3.99,3.99,26,5.5,7.4,7.050000000000001,7.25,32,0.0,1080.0,104.80375,30.0,12,0.01,100.0,37.6225,7.475,0,,,,,7,-7.0,129.0,45.04714285714285,33.0,1,0.12,0.12,0.12,0.12,9,0.0069,170.0,42.94632222222222,0.5,0,,,,,57,1.0,98.0,16.45614035087719,6.0,75.31461538461538,59.33111111111111,576.74,216.2222222222222,0.3063333333333333,0.183,4.553,-10.59090909090909,14.85,31.625,3.99,,6.957142857142856,7.1625,22.10571428571428,262.6818181818182,45.404,4.7375,,,65.866,-7.0,,0.12,55.00241428571428,0.75,,,15.34615384615385,19.33333333333333
Molybdenum,43,13,11,19,54.2,,430.0,41,0.71,800.0,96.92780487804878,50.0,11,0.12,1600.0,236.5563636363636,78.8,6,0.2,1.9,0.5076666666666667,0.218,15,-78.3,46.0,-21.17133333333333,-27.0,6,0.0535,14.0,5.871533333333333,4.5414,2,1.4,1.67,1.535,1.535,14,4.63,8.0,6.692142857142857,7.3,21,0.0,100.0,48.23333333333333,50.0,2,0.5,10.01,5.255,5.255,1,0.2,0.2,0.2,0.2,7,0.0,50.0,14.80428571428572,1.48,0,,,,,5,30.0,800.0,362.0,430.0,2,106.0,8000.0,4053.0,4053.0,33,1.0,72.0,16.12121212121212,14.0,55.67916666666667,95.24272727272727,114.9,354.2366666666667,,0.2366666666666667,-0.7666666666666657,-20.18333333333333,0.08973333333333333,,1.67,1.4,5.703333333333333,6.938333333333333,23.24166666666666,81.55555555555556,5.255,,0.2,,25.37,0.7166666666666667,,,40.0,576.6666666666666,4053.0,,14.69230769230769,21.27272727272727
Nickel/Nickel Oxide,52,25,15,12,62.5,62.415,48.0,50,5.3,240.0,46.3508,37.09999999999999,19,5.0,1600.0,299.2563157894737,154.1,4,0.299,1.0,0.47925,0.309,8,-36.0,25.3,-8.870000000000001,-8.01,15,4.79,180.0,53.57733333333334,50.0,24,2.41,5.1,3.5925,3.545,17,5.8,8.3,7.023529411764706,7.2,32,-7.0,100.0,47.034375,39.0,14,1.1,97.0,19.16928571428571,6.0,6,0.0,5.6,1.5,0.5,4,0.125,40.1,19.80625,19.5,2,45.0,79.83,62.415,62.415,19,10.3,2560.0,248.9178947368421,48.0,1,50.0,50.0,50.0,50.0,52,1.0,72.0,17.73076923076923,24.0,40.238,40.46142857142858,165.6957142857143,412.0,0.299,1.0,-2.219999999999999,-6.824999999999999,5.98,50.00333333333333,3.566470588235294,3.772,7.233333333333333,6.942857142857142,31.09130434782609,87.77777777777777,11.37,9.65,4.0,0.25,32.05,7.5625,62.415,,301.9426666666666,50.075,50.0,,21.36,20.73333333333333
Other,10,3,7,0,30.0,,7.5,7,35.0,120.0,65.0,50.0,6,48.4,1026.9,256.545,100.4,3,0.137,0.143,0.1393333333333333,0.138,2,17.0,32.4,24.7,24.7,0,,,,,0,,,,,7,7.0,8.5,7.434285714285714,7.02,7,1.1,174.0,103.3,85.0,0,,,,,0,,,,,0,,,,,0,,,,,5,1.6,254.0,89.386,7.5,1,2.3,2.3,2.3,2.3,10,5.0,24.0,11.4,6.5,,65.0,,256.545,,0.1393333333333333,,24.7,,,,,,7.434285714285714,15.55,138.4,,,,,,,,,3.643333333333333,218.0,2.3,,24.0,6.0
Palladium,1,0,1,0,0.0,,1.0,1,15.1,15.1,15.1,15.1,1,127.0,127.0,127.0,127.0,0,,,,,1,-27.8,-27.8,-27.8,-27.8,1,33.0,33.0,33.0,33.0,0,,,,,1,5.9,5.9,5.9,5.9,1,50.0,50.0,50.0,50.0,1,0.24,0.24,0.24,0.24,0,,,,,0,,,,,0,,,,,1,1.0,1.0,1.0,1.0,0,,,,,1,30.0,30.0,30.0,30.0,,15.1,,127.0,,,,-27.8,,33.0,,,,5.9,,50.0,,0.24,,,,,,,,1.0,,,,30.0
Platinum,1,1,0,0,100.0,,,1,70.0,70.0,70.0,70.0,1,112.4,112.4,112.4,112.4,0,,,,,1,-12.2,-12.2,-12.2,-12.2,0,,,,,0,,,,,0,,,,,1,25.0,25.0,25.0,25.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,70.0,,112.4,,,,-12.2,,,,,,,,25.0,,,,,,,,,,,,,,,
Polymer Nanoparticle,56,9,15,32,37.5,,,47,3.0,595.0,166.1,121.0,28,46.6,369.0,138.0503571428571,116.25,27,0.04,0.425,0.196,0.201,14,-50.0,200.0,48.01142857142857,-1.655,1,75.439,75.439,75.439,75.439,0,,,,,22,6.8,7.4,7.336363636363638,7.4,17,0.0,100.0,59.76352941176471,74.36,12,4.0,718.0,258.8333333333333,222.5,4,0.0,0.0,0.0,0.0,0,,,,,0,,,,,0,,,,,17,50.0,850.0,755.8823529411765,850.0,41,1.0,240.0,35.48780487804878,24.0,192.7142857142857,286.5714285714286,183.2,199.52,0.24725,0.3138333333333334,114.78,28.7,,,,,7.066666666666666,7.266666666666667,7.166666666666667,88.45272727272727,,,0.0,0.0,,,,,,,50.0,,10.5,15.23076923076923
Protein Nanoparticle,2,0,0,2,0.0,,,2,192.0,192.0,192.0,192.0,2,192.0,192.0,192.0,192.0,2,0.1,0.1,0.1,0.1,2,-34.0,-34.0,-34.0,-34.0,0,,,,,0,,,,,2,7.4,7.4,7.4,7.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Dot,5,1,1,3,50.0,,30.0,3,3.4,20.0,14.46666666666667,20.0,1,535.0,535.0,535.0,535.0,0,,,,,3,-3.92,20.0,12.02666666666667,20.0,0,,,,,0,,,,,1,5.36,5.36,5.36,5.36,2,20.0,200.0,110.0,110.0,1,0.1,0.1,0.1,0.1,0,,,,,0,,,,,0,,,,,1,30.0,30.0,30.0,30.0,0,,,,,1,5.0,5.0,5.0,5.0,3.4,20.0,535.0,,,,-3.92,20.0,,,,,5.36,,20.0,200.0,0.1,,,,,,,,30.0,,,,5.0,
Selenium,69,36,17,16,67.9,3.54,33.3,63,6.8,500.0,83.3763492063492,66.55,36,20.0,334.0,107.2838888888889,99.0,12,0.101,0.7,0.315,0.2,25,-43.2,65.9,-14.8812,-29.0,0,,,,,0,,,,,28,2.0,7.8,6.368928571428571,7.300000000000001,50,-8.0,264.7,45.0044,50.0,14,0.2,5.6,1.942857142857143,1.55,2,0.0,8.0,4.0,4.0,4,5.0,99.85,57.2625,62.1,13,-2.0,21.9,7.477461538461538,3.54,19,-7.0,530.0,82.46421052631578,33.3,9,61.6,5000.0,1092.555555555556,198.1,66,1.0,96.0,30.45454545454545,24.0,88.6139393939394,116.3166666666667,120.0247826086957,95.135,0.3555555555555556,0.1933333333333334,-9.30764705882353,-35.17142857142857,,,,,6.23125,6.423,28.25294117647059,80.60125,1.72,2.5,0.0,8.0,57.2625,,5.0667,15.51333333333333,54.63500000000001,130.1714285714285,818.7666666666665,110.0,38.5,19.0
Silica,151,69,36,46,65.7,1.0,73.0,144,1.0,1087.8,120.5133333333333,57.01,95,10.0,2437.0,197.8851578947368,137.6,37,0.007,1.0,0.308,0.317,78,-67.0,36.7,-26.26153846153846,-32.45,53,1.1,1181.7,287.1105660377359,180.0,0,,,,,75,1.2,264.7,10.46866666666667,7.4,83,0.0,549.0,82.14698795180723,48.0,14,0.01,100.0,35.99464285714286,28.5,16,0.0,98.0,24.6375,11.95,34,-1.0,770.0,187.6476470588235,62.5,1,1.0,1.0,1.0,1.0,7,0.32,225.0,66.20571428571428,73.0,8,100.0,1959.0,827.68125,1000.0,141,1.0,115.0,19.30496453900709,14.0,113.4172463768116,92.28818181818183,173.5829787234042,244.2933333333333,0.3032941176470588,0.32375,-32.45413793103448,-28.83625,204.1808,330.7582352941176,,,7.075925925925928,7.443103448275862,81.34285714285714,83.81481481481481,43.605,55.0,33.92727272727273,4.2,243.5846153846154,5.8525,1.0,,0.8133333333333334,115.25,655.3625,,21.10769230769231,23.02777777777778
Silver,212,61,40,111,60.4,3.9,40.0,193,2.0,500.0,40.46082901554404,25.0,69,6.0,1280.2,141.6365217391304,75.5,29,0.149,1.0,0.4053310344827585,0.305,53,-67.66,20.0,-23.05401886792453,-24.0,8,1.49,100.21,20.1603375,5.26645,6,1.3,3.71,2.813333333333333,2.97,48,6.0,8.27,7.320208333333333,7.5,57,-1.0,549.0,67.76780701754386,50.0,37,0.01,199.0,37.49605405405405,16.0,5,0.6,50.0,15.92,10.0,7,3.0,58.0,27.71428571428572,15.0,23,0.13,750.0,51.42434782608696,3.9,25,-1.0,5030.0,384.6244,40.0,9,0.04,5000.0,791.5822222222222,7.0,165,0.0,114.0,31.70909090909091,24.0,33.13672413793103,38.63055555555556,134.4746666666667,134.8305263157895,0.3804375,0.452,-22.98607142857143,-24.0451875,13.395675,50.84999999999999,3.17,2.1,7.425833333333332,7.286470588235295,31.26560606060606,117.9583333333333,48.40881818181819,26.1025,20.2,9.5,35.46,8.35,5.779166666666666,101.2190909090909,429.4005263157895,242.8333333333333,3530.5,1.2,41.10909090909091,35.42105263157895
Sulfur,18,9,5,4,64.3,0.078,462.0,18,8.7,500.0,81.91111111111111,40.0,10,37.0,800.0,217.764,190.0,4,0.17,1.0,0.43875,0.2925,10,-29.9,32.6,-7.970000000000002,-10.57,0,,,,,0,,,,,9,5.5,8.0,6.966666666666667,7.0,14,0.0,549.0,225.0714285714286,100.0,0,,,,,2,549.0,549.0,549.0,549.0,0,,,,,1,0.078,0.078,0.078,0.078,4,231.0,549.0,426.0,462.0,3,50.0,50.0,50.0,50.0,18,0.0,48.0,20.72222222222222,14.5,137.8555555555556,15.74,329.2,132.5,,0.195,-4.513333333333333,-3.066666666666666,,,,,7.133333333333333,7.266666666666667,194.7777777777778,279.6,,,549.0,,,,0.078,,426.0,,50.0,,18.88888888888889,29.6
Tin Oxide,5,5,0,0,100.0,,,5,2.87,30.0,8.344,2.99,4,1210.0,2120.0,1622.5,1580.0,4,0.47,0.571,0.53575,0.551,4,-14.2,-8.49,-12.1225,-12.9,0,,,,,0,,,,,2,7.0,7.0,7.0,7.0,1,16.2,16.2,16.2,16.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,1.0,1.0,1.0,1.0,5,2.0,120.0,96.4,120.0,8.344,,1622.5,,0.53575,,-12.1225,,,,,,7.0,,16.2,,,,,,,,,,,,1.0,,96.4,
Titanium Dioxide,235,60,44,131,57.7,92.11,43.5,212,1.0,950.0,53.09287735849057,25.0,87,1.0,6443.0,631.9229885057472,345.0,32,0.0133,0.822,0.39509375,0.366,57,-50.4,51.4,-7.959649122807019,-12.6,63,2.5,341.0,64.72428571428571,38.5,12,2.38,3.23,2.8975,3.07,69,1.5,8.46,6.865072463768116,7.14,61,0.0,115.0,45.49688524590164,46.22,5,0.42,115.0,50.126,20.0,3,1.0,14.0,5.333333333333333,1.0,34,0.0,163.54,29.65205882352941,7.5,22,0.016,427.0,135.9843636363636,92.11,18,5.0,1000.0,154.4272222222222,43.5,3,1.0,5000.0,1717.0,150.0,202,0.0,300.0,27.87871287128713,24.0,34.85813559322034,61.88837837837838,633.123076923077,674.5266666666666,0.3910142857142857,0.3801111111111111,-6.240333333333334,-10.35681818181818,92.39999999999999,54.03299999999999,3.06,3.1,6.974166666666666,7.152500000000001,24.2554054054054,78.24416666666667,48.07,53.21,14.0,1.0,45.53099999999999,6.967857142857143,46.51418181818182,225.4545454545455,198.1536363636364,85.71428571428571,1.0,,30.69090909090909,30.475
Tungsten Oxide,4,1,2,1,33.3,,,4,1.6,100.0,30.55,10.3,1,63.0,63.0,63.0,63.0,0,,,,,2,-61.77,-45.3,-53.535,-53.535,1,79.0,79.0,79.0,79.0,0,,,,,2,5.0,7.4,6.2,6.2,2,0.0,50.0,25.0,25.0,1,66.7,66.7,66.7,66.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,6.0,30.0,16.66666666666667,14.0,1.6,10.3,,63.0,,,,-53.535,,79.0,,,,6.2,0.0,50.0,,66.7,,,,,,,,,,,,18.0
Uncategorized,7,0,1,6,0.0,,,1,110.0,110.0,110.0,110.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,7.2,7.2,7.2,7.2,1,100.0,100.0,100.0,100.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,2.564,2.564,2.564,2.564,1,24.0,24.0,24.0,24.0,,110.0,,,,,,,,,,,,7.2,,100.0,,,,,,,,,,,,2.564,,24.0
Vanadium Oxide,17,7,1,9,87.5,,13.095,17,1.0,100.0,59.05470588235295,50.0,8,0.0,599.8,207.125,131.75,2,0.004,0.359,0.1815,0.1815,10,-92.72,0.0,-38.44600000000001,-30.9,6,0.34,19.71,12.07833333333333,13.66,0,,,,,6,3.55,7.4,6.758333333333333,7.4,8,3.0,160.0,49.7,30.0,7,3.0,90.0,28.42857142857143,23.0,0,,,,,2,0.69,160.0,80.345,80.345,0,,,,,4,6.4,88.0,30.1475,13.095,2,10.0,448.0,229.0,229.0,17,3.0,28.0,21.70588235294118,24.0,55.71428571428572,22.93,62.66666666666666,,,,-24.43333333333333,,7.81,,,,7.400000000000001,,42.51428571428572,100.0,57.5,,,,80.345,,,,10.86333333333334,88.0,,,23.14285714285714,3.0
Vesicle,1,1,0,0,100.0,,30.0,1,30.0,30.0,30.0,30.0,1,74.0,74.0,74.0,74.0,0,,,,,1,-93.6,-93.6,-93.6,-93.6,0,,,,,0,,,,,1,4.09,4.09,4.09,4.09,1,20.0,20.0,20.0,20.0,1,0.5,0.5,0.5,0.5,0,,,,,0,,,,,0,,,,,1,30.0,30.0,30.0,30.0,0,,,,,1,5.0,5.0,5.0,5.0,30.0,,74.0,,,,-93.6,,,,,,4.09,,20.0,,0.5,,,,,,,,30.0,,,,5.0,
Zinc,3,1,1,1,50.0,,,2,30.0,100.0,65.0,65.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0.1,0.1,0.1,0.1,1,50.0,50.0,50.0,50.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,14.0,24.0,19.0,19.0,,100.0,,,,,,,,,,,0.1,,,50.0,,,,,,,,,,,,,14.0,24.0
Zinc Oxide,265,125,62,78,66.8,6.25,48.5,256,-50.0,820.0,51.8632421875,33.14,123,-50.0,1280.0,229.7810650406504,197.0,35,-50.0,3.423,-0.9010028571428569,0.305,78,-50.0,67.0,-5.341871794871794,-8.165,61,1.7,9236.0,198.128524590164,23.2,27,2.2,396.0,59.49159259259259,3.1,121,1.5,13.0,6.997107438016529,7.2,150,-929.0,549.0,39.02045333333333,50.0,72,0.0,319.09,39.56786527777777,11.0,22,-70.0,162.0,38.92083636363636,47.65,34,-1.0,1000.0,80.39058823529412,42.7,25,-2.0,123.0,32.85111999999999,6.25,49,0.26,600.0,92.21267346938777,48.5,19,5.0,2000.0,568.8947368421053,60.0,251,0.5,144.0,23.40836653386454,24.0,45.12198347107438,52.83333333333334,232.1258243243244,252.54875,-1.45356,0.5681666666666666,-6.591086956521738,6.350700000000001,41.62066666666667,78.89307692307693,98.3664375,2.915,7.244067796610169,7.141707317073171,13.33732653061224,87.42326923076924,35.91695952380952,50.235,51.45666666666666,-17.4904,92.7855172413793,8.5,34.43988235294118,29.475,65.89602857142859,158.0042857142857,714.4444444444445,82.75,22.044,22.01666666666667
Zinc Sulfide,9,0,8,1,0.0,,,9,4.2,12.9,9.28888888888889,10.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8,7.4,7.4,7.4,7.4,8,58.0,95.0,73.5,75.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8,24.0,24.0,24.0,24.0,,9.925,,,,,,,,,,,,7.4,,73.5,,,,,,,,,,,,,,24.0
Zirconium Oxide,2,2,0,0,100.0,,1000.0,2,20.0,20.0,20.0,20.0,2,648.0,1140.0,894.0,894.0,0,,,,,2,30.0,30.0,30.0,30.0,0,,,,,0,,,,,2,5.5,5.5,5.5,5.5,2,2.5,5.0,3.75,3.75,0,,,,,0,,,,,2,8.0,9.0,8.5,8.5,0,,,,,2,1000.0,1000.0,1000.0,1000.0,0,,,,,2,10.0,10.0,10.0,10.0,20.0,,894.0,,,,30.0,,,,,,5.5,,3.75,,,,,,8.5,,,,1000.0,,,,10.0,
